-2887, -3291, -3988, -3473, -2670, -2195, -3094, -3077, -1916, -3178, 
-2437, -1001, -1444, -717, 945, 1258, 1066, 2117, 2349, 2125, 
3048, 2540, 1235, 857, 1585, 1485, 297, -1340, -2053, -1642, 
-2298, -2524, -2020, -1225, -807, -1243, -594, 121, 946, 1306, 
1841, 1848, 65, -381, -1348, -1525, 132, 894, 2428, 3703, 
3614, 2408, 2035, 1519, 1181, 1772, 3445, 4002, 4012, 2241, 
853, 1604, 3140, 5039, 5666, 6155, 5841, 5353, 3096, 933, 
633, 268, -305, -1625, -2792, -2654, -3063, -2608, -296, 815, 
1250, 2132, 3030, 1861, 1191, 1476, 1225, 586, 305, -744, 
-2311, -3216, -2712, -2642, -2619, -2582, -2333, -674, 932, 1317, 
800, 933, 788, 304, 972, 1049, 372, 315, 550, 1533, 
1914, 2039, 2266, 2151, 523, -1722, -3797, -4787, -3753, -4455, 
-6812, -5989, -4072, -2113, -242, 1195, 1029, 951, 1742, 921, 
204, -1395, -1801, -2406, -3420, -4010, -4492, -4564, -4766, -3964, 
-4006, -3678, -2118, -1203, -701, -607, -1328, -2344, -2450, -2001, 
-1517, 422, 2177, 3231, 2728, 1593, 508, 32, -577, -1841, 
-2773, -4373, -4548, -4877, -4338, -3481, -2091, -748, 759, 2569, 
3674, 4626, 4672, 4076, 2633, 748, -742, -1374, -2535, -3002, 
-3457, -3445, -2843, -2979, -2499, -2191, -1308, 475, 1280, 1939, 
2232, 3505, 4284, 2967, 1582, 1334, 2155, 2919, 4153, 4857, 
4684, 4652, 3920, 2107, 1328, 745, 756, 919, 9, -689, 
-1127, -1340, -1378, -693, 948, 1332, 1303, 1778, 728, -722, 
-519, -1123, -2639, -2353, -3022, -3450, -3952, -4676, -5340, -5098, 
-4747, -5040, -4741, -4243, -2928, -2840, -2709, -1045, 1257, 3256, 
3936, 4187, 4912, 4798, 3842, 3097, 2462, 1224, 858, 1137, 
-329, -1166, -1205, -2619, -3146, -3160, -2185, -1737, -602, -312, 
-883, 1194, 2718, 2769, 3157, 3643, 2882, 1054, 1738, 1121, 
-149, -383, -1906, -3705, -4699, -4186, -3049, -2997, -856, 89, 
402, 694, 700, 851, 243, 1133, 1021, 893, 1585, 640, 
491, 542, 1202, -32, -1065, -1214, -2754, -3939, -4766, -4633, 
-4857, -4984, -3637, -2988, -1225, 473, 1444, 1915, 3344, 4034, 
2692, 1099, -183, -1894, -3702, -4464, -4055, -2870, -1913, -1010, 
-916, -684, -287, -83, 262, 872, 2323, 3212, 3954, 4027, 
3234, 3083, 3312, 3946, 4630, 5460, 5202, 4668, 3874, 2930, 
1433, 789, -511, -2257, -1822, -1403, -1030, -322, 1051, 2084, 
2317, 3377, 4511, 4186, 3050, 1684, -63, -2165, -3583, -3104, 
-3646, -4174, -2907, -1717, -1544, -129, 701, -522, -941, -48, 
923, -78, 124, 773, 357, 794, 2117, 3288, 3610, 5584, 
5609, 3536, 2969, 1730, 142, -723, -1313, -2177, -2784, -2356, 
-3313, -3270, -576, 1864, 2815, 2320, 2217, 1255, 102, -1184, 
-2813, -3579, -3220, -4178, -5280, -4902, -3552, -2335, -1085, 31, 
3, -730, -1211, -1697, -2339, -1906, -1691, -1605, -1479, -1057, 
-792, -445, 1370, 2915, 3698, 4344, 3978, 3300, 2280, 1266, 
666, -453, -1443, -1204, -1316, -1012, 463, 1068, 940, 373, 
-366, -423, -622, -556, -1753, -2083, -1535, -1011, -1336, -2517, 
-1677, -1835, -1787, -769, -530, -765, -51, 907, -378, -1787, 
-1746, -1942, -539, 935, 1200, 541, -103, 898, 135, -332, 
456, 1447, 2150, 1651, 373, -2069, -4032, -5468, -6098, -5790, 
