-3715302, -388283, 3360268, -2316897, -690605, 1037808, 727072, -619847, -837869, -441233, 
3850134, -4378455, 779691, 3599678, -6026979, 4682431, 1229748, -7857402, 8844259, -3052476, 
-3354848, 4737750, -378564, -4526432, 2832232, 5908514, -11065392, 4526000, 4936847, -3713840, 
-5176630, 8101452, -2701190, -1814602, 2001517, -1895165, 2806394, -2639597, 1974550, -910102, 
-1980993, 4695954, -3255208, -140503, -971549, 4237107, -2725641, -2587166, 3016532, 2059107, 
-3919155, -785347, 4819036, -2181661, -3000156, 4616788, -2837748, 1605772, -1498708, 1286688, 
-1171752, 1225835, 345507, -3993411, 6476422, -4665379, -236091, 3844893, -3373187, 630083, 
-537792, 3860392, -4934997, 216962, 4657483, -2920591, -2408771, 3736753, 260144, -4235815, 
5050819, -2313771, -1155817, 1176935, 3114375, -4569117, -1688740, 8184746, -6128501, 431562, 
-1398940, 5759374, -3959888, -2757557, 4556548, -1566074, 1617913, -5060817, 5077918, -368716, 
-2623709, 928876, 1258001, 1139563, -6665612, 8920757, -3415594, -5014044, 7069009, -1400984, 
-2374793, -1744420, 7046537, -5061527, -1464913, 4456255, -3354311, 2134961, -1658376, 331489, 
6993, 958579, -126895, -2848271, 2339233, 2844405, -4844041, -415459, 5982096, -3821838, 
-2598296, 5455448, -2710096, -1702287, 3889809, -2823419, -442616, 2707965, -2568703, 633598, 
1248027, -2353006, 1622058, 36486, -300398, -1028666, 515618, 2138228, -2651041, -808781, 
2909312, -33271, -4241892, 4529223, -1292042, -2195735, 3524310, -1533741, -2467643, 3542824, 
761498, -4867736, 2301329, 3063097, -3063712, -1491658, 2135769, 1712822, -2784924, -550357, 
1205978, 2999669, -4234193, -2098904, 8785330, -6414795, -2449785, 7282301, -3256086, -3543404, 
4638935, 507650, -5341296, 3498391, 2574868, -5267560, 1509490, 2297981, -1066330, -1758647, 
1183171, 397254, 477055, -1067268, -1534643, 3282588, -1058422, -1172258, 101517, 832882, 
1463788, -2895011, 983054, 845098, 683153, -2162933, 237014, 3364786, -4559669, 2962181, 
99962, -3242618, 4431062, -1988386, -1634038, 1875476, 1547740, -3195588, 1058632, 1346361, 
-820189, -1114492, 2374347, -2520904, 1519639, 201237, -1321274, 1224516, -1298767, 1351147, 
-586858, 650056, -2319962, 2857118, 273262, -2979716, 1760053, 241716, 764936, -1148747, 
-2291901, 4708278, -651444, -5120348, 4120919, 1961937, -3634171, -1457379, 5580824, -2359092, 
-3065674, 3188152, 1327548, -3221757, 500570, 1826268, -521133, -1849973, 2154225, -1027923, 
-370717, 1752249, -1826847, -121083, 1766215, 133389, -3090721, 1964936, 2261998, -3714796, 
681356, 1695458, -1284075, 514870, -1157497, 1035194, 28938, -365957, -68271, 409872, 
-1312575, 1803924, 999633, -5026061, 3437401, 3650407, -7153180, 2186003, 3594055, -2500177, 
-2673093, 3852815, -94807, -3239404, 2979878, -1460028, 1710116, -2636265, 1393524, 1105683, 
-1955667, 215757, 749854, 813172, -3100228, 2880224, -43677, -2575967, 2504929, -139461, 
-1763847, 1037194, 1175886, -1990108, -62023, 2168847, -2157291, 651926, -198937, 515883, 
